"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","standard","none","70","60","51"
"male","group C","some high school","free/reduced","completed","62","63","60"
"male","group B","some high school","free/reduced","completed","68","66","68"
"female","group C","associate's degree","standard","none","55","64","58"
"female","group C","some high school","standard","none","48","51","49"
"male","group B","associate's degree","free/reduced","none","40","49","43"
"female","group C","some college","free/reduced","none","68","78","77"
"male","group B","high school","standard","completed","85","86","88"
"male","group C","some high school","free/reduced","none","48","53","49"
"female","group D","some high school","standard","completed","80","87","96"
"female","group D","associate's degree","free/reduced","none","73","82","87"
"male","group B","bachelor's degree","free/reduced","none","56","62","57"
"female","group B","associate's degree","standard","none","55","54","50"
"male","group D","some college","standard","completed","61","67","68"
"male","group C","some college","free/reduced","completed","84","88","79"
"male","group D","some college","free/reduced","none","70","70","65"
"female","group C","high school","standard","completed","66","70","78"
"male","group B","associate's degree","standard","none","82","72","74"
"male","group D","master's degree","standard","none","83","89","85"
"male","group D","associate's degree","free/reduced","none","73","68","59"
"male","group B","some college","free/reduced","completed","48","40","47"
"female","group C","some high school","free/reduced","none","50","56","61"
"female","group D","some college","free/reduced","completed","67","80","81"
"male","group C","some high school","standard","none","71","49","50"
"female","group D","some college","standard","completed","63","78","76"
"female","group C","some college","standard","completed","67","84","77"
"male","group C","associate's degree","standard","completed","82","83","82"
"male","group C","associate's degree","standard","none","67","73","73"
"male","group D","some high school","free/reduced","completed","72","62","67"
"female","group D","associate's degree","standard","none","65","67","68"
"female","group C","some college","standard","completed","77","91","88"
"male","group C","associate's degree","free/reduced","completed","83","83","88"
"female","group E","bachelor's degree","standard","completed","89","100","100"
"male","group D","bachelor's degree","free/reduced","completed","63","72","68"
"female","group C","some college","standard","completed","73","84","87"
"male","group C","associate's degree","free/reduced","none","80","76","78"
"male","group A","associate's degree","standard","completed","93","97","94"
"male","group A","bachelor's degree","standard","none","87","70","73"
"male","group C","some college","standard","completed","62","64","63"
"male","group D","associate's degree","standard","none","94","86","90"
"female","group B","associate's degree","standard","completed","80","84","86"
"male","group C","some high school","standard","none","47","45","46"
"female","group D","bachelor's degree","free/reduced","completed","28","45","54"
"male","group E","some high school","standard","none","95","77","81"
"female","group C","associate's degree","standard","none","53","65","68"
"female","group B","high school","standard","completed","78","86","95"
"female","group C","some high school","standard","none","50","69","62"
"female","group C","associate's degree","free/reduced","none","51","64","64"
"male","group D","some high school","standard","none","75","67","58"
"female","group D","some high school","standard","completed","64","75","75"
"male","group B","associate's degree","free/reduced","none","51","51","54"
"female","group E","high school","standard","completed","87","93","92"
"male","group D","associate's degree","standard","none","85","75","81"
"male","group D","some high school","free/reduced","none","43","52","49"
"male","group D","some college","standard","none","60","59","58"
"male","group D","associate's degree","standard","none","88","82","86"
"male","group C","high school","standard","completed","60","49","49"
"female","group C","master's degree","free/reduced","completed","65","75","78"
"female","group D","bachelor's degree","standard","none","77","85","90"
"male","group D","some high school","standard","completed","94","89","96"
"male","group E","some college","standard","completed","91","84","82"
"female","group D","associate's degree","standard","completed","93","98","100"
"female","group C","high school","free/reduced","none","54","66","64"
"female","group D","high school","standard","none","67","80","75"
"male","group E","bachelor's degree","free/reduced","none","63","64","55"
"female","group D","associate's degree","free/reduced","none","56","72","72"
"male","group B","some college","standard","completed","50","55","53"
"male","group B","some high school","standard","completed","62","70","62"
"male","group D","associate's degree","free/reduced","none","90","88","79"
"female","group C","master's degree","standard","none","87","85","88"
"male","group B","associate's degree","standard","none","75","80","80"
"female","group A","bachelor's degree","standard","none","43","51","55"
"male","group C","some high school","free/reduced","completed","74","72","75"
"male","group D","some college","standard","none","73","65","64"
"female","group D","some college","standard","completed","56","69","71"
"female","group E","some college","standard","none","90","91","90"
"male","group C","some high school","standard","none","45","55","46"
"female","group D","some high school","standard","completed","74","77","80"
"female","group A","associate's degree","standard","none","71","91","84"
"female","group C","some high school","standard","none","55","58","60"
"male","group C","some college","standard","completed","86","92","90"
"female","group A","high school","free/reduced","completed","57","61","64"
"female","group C","some college","free/reduced","completed","67","72","76"
"female","group D","associate's degree","free/reduced","none","62","87","83"
"male","group E","high school","standard","none","58","49","48"
"female","group D","associate's degree","standard","none","47","65","68"
"male","group D","high school","standard","none","66","64","61"
"male","group D","some college","standard","completed","77","73","76"
"female","group D","master's degree","standard","completed","48","56","63"
"male","group C","some college","standard","completed","67","65","68"
"female","group B","high school","standard","completed","75","83","80"
"male","group C","associate's degree","standard","none","61","53","53"
"female","group C","bachelor's degree","free/reduced","none","47","57","62"
"female","group B","master's degree","standard","completed","78","75","83"
"female","group C","some high school","standard","completed","69","72","80"
"female","group B","bachelor's degree","standard","none","71","75","72"
"male","group D","bachelor's degree","free/reduced","completed","59","65","68"
"male","group D","high school","standard","none","81","70","67"
"male","group C","associate's degree","free/reduced","none","48","59","47"
"female","group C","some high school","standard","none","50","63","64"
